Wall time,Step,Value
1638529670.9255443,1,0.0009504001936875284
1638530282.2677166,1029,0.001069381134584546
1638530897.0025566,2057,0.0010977012570947409
1638531507.5623596,3085,0.0011108285980299115
1638532097.101937,4113,0.0011221684981137514
1638532687.3180327,5141,0.0011517055099830031
1638533273.7816136,6169,0.0011599608696997166
1638533821.0449054,7197,0.0011637336574494839
1638534428.907982,8225,0.001169439172372222
1638535027.3682907,9253,0.0011952428612858057
1638535630.7190676,10281,0.0012304098345339298
1638536182.501677,11309,0.0012141321785748005
1638536792.9077232,12337,0.0012122583575546741
1638537406.364729,13365,0.0012532742694020271
1638537968.4331176,14393,0.0012506938073784113
1638538578.1052773,15421,0.0012626005336642265
1638539184.8477952,16449,0.0012661251239478588
1638539780.440115,17477,0.001265005674213171
1638540392.2328515,18505,0.0013057258911430836
1638540989.9451623,19533,0.0013282343279570341
1638541582.7624125,20561,0.001304325181990862
1638542126.8944085,21589,0.0012694259639829397
1638542736.1168678,22617,0.0012881536968052387
1638543390.0422237,23645,0.001306227408349514
1638544024.3143399,24673,0.0013229397591203451
1638544640.6873357,25701,0.0013153846375644207
1638545276.6469724,26729,0.0013276622630655766
1638545918.6255515,27757,0.001304559176787734
1638546467.3885975,28785,0.0013363228645175695
1638547065.8634017,29813,0.0013172985054552555
1638547671.1156719,30841,0.0013545418623834848
1638548275.6315434,31869,0.001336056157015264
1638548874.189141,32897,0.001370142330415547
1638549469.3425267,33925,0.0013866184744983912
1638550055.331463,34953,0.0013852007687091827
1638550588.9640253,35981,0.0013601890532299876
1638551165.3883936,37009,0.001375535037368536
1638551765.3715081,38037,0.001363395364023745
1638552349.0302172,39065,0.0013950951397418976
1638552937.7269554,40093,0.001374351093545556
1638553528.8957856,41121,0.0014198112767189741
1638554135.3226745,42149,0.001430360134691
1638554701.697831,43177,0.0014315618900582194
1638555297.5677643,44205,0.0014151094947010279
1638555910.1591678,45233,0.0014259612653404474
1638556500.7797506,46261,0.0014363769441843033
1638557096.9759626,47289,0.0014589752536267042
1638557695.8542624,48317,0.0014219991862773895
1638558282.74763,49345,0.001442569075152278
1638558824.3981855,50373,0.0014353222213685513
1638559412.1648324,51401,0.0014056432992219925
1638560000.738474,52429,0.0014508331660181284
1638560584.7516847,53457,0.0014708912931382656
1638561170.1337874,54485,0.001443586079403758
1638561761.8800895,55513,0.0014266252983361483
1638562360.2272594,56541,0.0014414498582482338
1638562899.6677544,57569,0.001422580098733306
1638563484.88185,58597,0.0014414588222280145
1638564089.99064,59625,0.001466025598347187
1638564671.7269096,60653,0.0014652590034529567
1638565261.5519903,61681,0.001464436762034893
